City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Diego De Almagro,CL,2022-02-02 18:52:09,-26.3667,-70.05,82.98,15,0,15.26
1,Ushuaia,AR,2022-02-02 18:47:46,-54.8,-68.3,49.62,65,75,29.93
2,Albany,US,2022-02-02 18:48:26,42.6001,-73.9662,44.73,72,94,3.0
3,Butaritari,KI,2022-02-02 18:52:10,3.0707,172.7902,80.91,80,64,16.91
4,Port Elizabeth,ZA,2022-02-02 18:52:10,-33.918,25.5701,74.1,100,75,16.11
5,Rikitea,PF,2022-02-02 18:47:37,-23.1203,-134.9692,77.54,75,100,7.05
6,Port Alfred,ZA,2022-02-02 18:48:12,-33.5906,26.891,74.77,95,100,16.71
7,Avarua,CK,2022-02-02 18:50:46,-21.2078,-159.775,80.65,83,20,14.97
8,Geraldton,AU,2022-02-02 18:52:11,-28.7667,114.6,88.21,15,0,17.27
9,Nikolskoye,RU,2022-02-02 18:52:11,59.7035,30.7861,22.89,99,98,1.03
10,Mataura,NZ,2022-02-02 18:52:11,-46.1927,168.8643,56.48,99,100,4.9
11,Onega,RU,2022-02-02 18:52:11,63.9061,38.1404,2.25,99,84,2.1
12,Naryan-Mar,RU,2022-02-02 18:52:12,67.6713,53.087,7.68,96,100,8.39
13,Chuy,UY,2022-02-02 18:51:09,-33.6971,-53.4616,82.15,55,0,13.33
14,Esperance,AU,2022-02-02 18:52:12,-33.8667,121.9,57.04,74,5,12.33
15,Tasiilaq,GL,2022-02-02 18:48:29,65.6145,-37.6368,15.96,71,100,7.2
16,Qaanaaq,GL,2022-02-02 18:47:44,77.484,-69.3632,-17.23,68,100,6.78
17,Alghero,IT,2022-02-02 18:52:12,40.5589,8.3181,51.98,87,40,2.3
18,Yellowknife,CA,2022-02-02 18:52:13,62.456,-114.3525,-24.72,74,20,2.3
19,Salalah,OM,2022-02-02 18:52:13,17.0151,54.0924,74.3,35,0,4.92
20,Punta Arenas,CL,2022-02-02 18:52:13,-53.15,-70.9167,48.31,87,75,8.05
21,Amahai,ID,2022-02-02 18:50:53,-3.3333,128.9167,77.58,85,100,5.91
22,Evensk,RU,2022-02-02 18:49:40,61.95,159.2333,21.36,42,100,24.58
23,Busselton,AU,2022-02-02 18:47:58,-33.65,115.3333,67.05,48,100,16.22
24,Mackay,AU,2022-02-02 18:52:14,-21.15,149.2,78.78,89,40,4.61
25,Bredasdorp,ZA,2022-02-02 18:52:08,-34.5322,20.0403,72.72,68,26,12.66
26,Victoria,HK,2022-02-02 18:48:46,22.2855,114.1577,58.24,93,100,1.01
27,Hermanus,ZA,2022-02-02 18:52:14,-34.4187,19.2345,67.8,83,9,13.11
